Entity,Prefix
"SPRATLY ISLANDS",""
"SOVEREIGN MILITARY ORDER OF MALTA","1A0KM"
"TUNISIA","3V"
"VIET NAM","3W, XV"
"GUINEA","3XA"
"BOUVET ISLAND","3Y"
"PETER 1 ISLAND","3Y"
"ITU HQ","4U1ITU"
"WEST MALAYSIA","9M2"
"DEMOCRATIC REPUBLIC OF THE CONGO","9Q"
"PAKISTAN","AP"
"SCARBOROUGH REEF","BS7H"
"PRATAS ISLAND","BV9P"
"SAN FELIX ISLAND","CE0X"
"IRAN","EP"
"ETHIOPIA","ET"
"TAJIKISTAN","EY"
"TURKMENISTAN","EZ"
"CHESTERFIELD ISLANDS","FK/C"
"GLORIOSO ISLAND","FR/G"
"JUAN DE NOVA, EUROPA","FR/J"
"TROMELIN ISLAND","FR/T"
"CROZET ISLAND","FT5W"
"KERGUELEN ISLAND","FT5X"
"AMSTERDAM & SAINT PAUL ISLANDS","FT5Z"
"MALPELO ISLAND","HK0"
"VATICAN CITY","HV"
"DJIBOUTI","J2"
"MINAMI TORISHIMA","JD1"
"JAN MAYEN","JX"
"JOHNSTON ISLAND","KH3"
"MIDWAY ISLAND","KH4"
"PALMYRA & JARVIS ISLANDS","KH5"
"KURE ISLAND","KH7K"
"SWAINS ISLAND","KH8"
"WAKE ISLAND","KH9"
"NAVASSA ISLAND","KP1"
"DPRK (NORTH KOREA)","P5,HM"
"SAINT PETER AND PAUL ROCKS","PY0S"
"FRANZ JOSEF LAND","R1F"
"BANGLADESH","S2"
"MOUNT ATHOS","SV/A"
"BANABA ISLAND","T33"
"SOMALIA","T5"
"BRUNEI","V8"
"HEARD ISLAND","VK0"
"MACQUARIE ISLAND","VK0"
"LORD HOWE ISLAND","VK9L"
"MELLISH REEF","VK9M"
"WILLIS ISLAND","VK9W"
"SOUTH GEORGIA ISLAND","VP8"
"SOUTH SANDWICH ISLANDS","VP8"
"CHAGOS ISLANDS","VQ9"
"ANDAMAN & NICOBAR ISLANDS","VU4"
"LAKSHADWEEP ISLANDS","VU7"
"CAMBODIA","XU"
"MACAO","XX9"
"MYANMAR","XZ"
"SYRIA","YK"
"AVES ISLAND","YV0"
"U K BASES ON CYPRUS","ZC4"
"TRISTAN DA CUNHA & GOUGH ISLANDS","ZD9"
"TOKELAU ISLANDS","ZK3"
"KERMADEC ISLAND","ZL8"
"NEW ZEALAND SUBANTARCTIC ISLANDS","ZL9"
"PRINCE EDWARD & MARION ISLANDS","ZS8"
